dataset,uspto_50k
use_rxn_class,False
atom_message,False
use_attn,False
n_heads,8
epochs,200
mpn_size,256
depth,10
dropout_mpn,0.15
mlp_size,512
dropout_mlp,0.2
lr,0.001
patience,5
factor,0.8
thresh,0.01
max_clip,10
print_every,200
num_workers,6
""
epoch,train_acc,valid_acc,valid_first_step_acc,train_loss
141,0.8149,0.5554,0.7169,0.1012
142,0.8152,0.5538,0.7165,0.1012
143,0.8131,0.5572,0.7193,0.1013
144,0.8145,0.5572,0.7181,0.1015
145,0.8135,0.5566,0.7179,0.1023
146,0.8184,0.5592,0.7207,0.1002
147,0.8164,0.557,0.7193,0.1012
148,0.8142,0.555,0.7175,0.1009
149,0.8161,0.5556,0.7171,0.1003
150,0.8129,0.558,0.7195,0.1021
151,0.8154,0.5584,0.7207,0.1008
152,0.8163,0.5588,0.7197,0.1001
153,0.8193,0.5576,0.7195,0.0999
154,0.8178,0.5572,0.7195,0.0998
155,0.8165,0.557,0.7185,0.1009
156,0.8161,0.557,0.7189,0.0997
157,0.8182,0.5554,0.7183,0.0997
158,0.8173,0.5572,0.7177,0.1001
159,0.8162,0.5592,0.7191,0.0995
160,0.8178,0.5584,0.7185,0.1
161,0.8149,0.5574,0.7189,0.1003
162,0.8136,0.5582,0.7187,0.1002
163,0.8184,0.5586,0.7191,0.1
164,0.8178,0.5572,0.7187,0.0996
165,0.8149,0.5582,0.7193,0.1012
166,0.8172,0.5576,0.7183,0.1003
167,0.8169,0.5556,0.7179,0.0995
168,0.8166,0.557,0.7193,0.0995
169,0.8199,0.557,0.7183,0.0989
170,0.8182,0.558,0.7187,0.1003
171,0.8175,0.5576,0.7191,0.1004
172,0.8182,0.5586,0.7193,0.1002
173,0.8181,0.558,0.7191,0.1
174,0.8185,0.5568,0.7183,0.0997
175,0.8188,0.5572,0.7187,0.1003
176,0.8189,0.5576,0.7187,0.0999
177,0.8172,0.5572,0.7187,0.0996
178,0.8171,0.5578,0.7189,0.0992
179,0.8181,0.556,0.7175,0.0999
180,0.8192,0.5574,0.7177,0.0989
181,0.8183,0.559,0.7195,0.0995
182,0.8183,0.5588,0.7195,0.099
183,0.8149,0.557,0.7185,0.0994
184,0.8166,0.5568,0.7181,0.0992
185,0.8188,0.5568,0.7183,0.0986
186,0.8163,0.5584,0.7189,0.1
187,0.8194,0.5576,0.7187,0.0985
188,0.8218,0.557,0.7185,0.0985
189,0.8189,0.5576,0.7183,0.099
190,0.8189,0.5576,0.7183,0.0991
191,0.8209,0.557,0.7179,0.0982
192,0.8176,0.5566,0.7179,0.0994
193,0.8211,0.5582,0.7195,0.098
194,0.8196,0.5574,0.7189,0.0987
195,0.819,0.5582,0.7191,0.0986
196,0.8172,0.5584,0.7193,0.0985
197,0.8209,0.5584,0.7195,0.0983
198,0.8175,0.5592,0.7191,0.0999
199,0.8161,0.5594,0.7193,0.0998
200,0.8187,0.5586,0.7193,0.0986
