dataset,uspto_50k
use_rxn_class,True
atom_message,False
use_attn,False
n_heads,8
epochs,150
mpn_size,256
depth,10
dropout_mpn,0.15
mlp_size,512
dropout_mlp,0.2
lr,0.001
patience,5
factor,0.8
thresh,0.01
max_clip,10
print_every,200
num_workers,6
""
epoch,train_acc,valid_acc,valid_first_step_acc,train_loss
139,0.8944,0.6581,0.8735,0.0549
140,0.8938,0.6575,0.8733,0.0551
141,0.8945,0.6571,0.8737,0.0541
142,0.8947,0.6573,0.8727,0.0552
143,0.8954,0.6589,0.8737,0.0543
144,0.8946,0.6587,0.8741,0.0544
145,0.8936,0.6585,0.8731,0.0545
146,0.8981,0.6567,0.8717,0.0535
147,0.8952,0.6559,0.8711,0.0538
148,0.8945,0.6581,0.8725,0.0546
149,0.8955,0.6579,0.8725,0.0541
150,0.894,0.6595,0.8735,0.0544
